,0.0,0.1,0.5,1.0,2.0,4.0,6.0,8.0,10.0,14.0,18.0,22.0,26.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,120.0,140.0,160.0
Cm242,7.2090062583886415e+25,7.864893169245468e+28,4.6124912268396633e+30,2.3861596406425712e+32,1.0680976621677743e+34,9.159168163797806e+34,4.0588439903384245e+35,1.2598332132020034e+36,3.128357607530601e+36,1.276087693437923e+37,3.6947423602301946e+37,8.63546669128074e+37,1.7427500141073397e+38,3.1620161313974685e+38,1.0208936883105115e+39,2.449228952793517e+39,4.8585440515758464e+39,8.447457795784088e+39,1.3330605225499979e+40,1.9529698900652077e+40,2.697065692517397e+40,4.49122805264314e+40,6.520795451969945e+40,1.8833054244364035e-06
Cm243,4.4230385241996494e+25,4.826729340913983e+25,5.607508633430345e+26,5.5103221248349616e+28,5.089319363976373e+30,6.714614450072437e+31,4.046890443425164e+32,1.5957193670240157e+33,4.812662139309521e+33,2.6824806488542575e+34,9.908056674953195e+34,2.8316851034443845e+35,6.786613805745375e+35,1.4310300166901785e+36,6.306165019028973e+36,1.9418454169019317e+37,4.744253337868927e+37,9.863779748729022e+37,1.8222932446229336e+38,3.0705140921684924e+38,4.810859621596441e+38,9.975688712390213e+38,1.741977776256208e+39,5.803035650002185e-08
Cm244,1.1347352705351946e+26,3.544493570598657e+26,2.335539841213031e+28,2.1243660136319043e+30,1.767720401256015e+32,2.2637491917191117e+33,1.3488631838978842e+34,5.320835277517487e+34,1.6157679247912574e+35,9.172528349825725e+35,3.4774440720807585e+36,1.0226589293076843e+37,2.523803460921906e+37,5.4883273127893625e+37,2.617979613815416e+38,8.74148356805988e+38,2.3219522882683614e+39,5.251445547857063e+39,1.0559828120768732e+40,1.9389295076407143e+40,3.3141189075686224e+40,8.223766532573461e+40,1.7366965086565145e+41,6.946826027840707e-06
Cm245,4.725408053562483e+25,5.718249615226625e+25,7.562442697182966e+25,1.7926184935092245e+27,2.809825045731123e+29,5.39002134084518e+30,4.299790311761715e+31,2.129815404632051e+32,7.80700813410372e+32,5.974484638715038e+33,2.860698565773411e+34,1.0207126726275318e+35,2.970036888899472e+35,7.462335282938608e+35,4.771761781312426e+36,2.0125522877598053e+37,6.480577835523213e+37,1.7274067531152677e+38,4.001328306092192e+38,8.323549254773365e+38,1.587987116989569e+39,4.7315276582949756e+39,1.1525719878213736e+40,5.085589874463198e-07
Cm246,5.338092164142092e+25,7.826792262247511e+25,9.450572067924044e+25,1.1005013769640733e+26,3.923465942432227e+26,7.967050282225404e+27,8.418193021773914e+28,5.240365846727341e+29,2.3217842574835454e+30,2.4009732281594697e+31,1.4554216067564024e+32,6.303883487108171e+32,2.170389301132214e+33,6.316078756158377e+33,5.498816307528019e+34,2.9840688344355235e+35,1.1940493681050121e+36,3.862327746860783e+36,1.068285719736033e+37,2.617774261319871e+37,5.833658425706251e+37,2.3293502551312044e+38,7.498967824252078e+38,4.237066150337377e-08
Cm247,4.427784334674304e+25,4.425196358182e+25,4.422960824708035e+25,4.419530097606378e+25,4.418228408054499e+25,4.656184042158799e+25,8.039191595812585e+25,3.305617016250383e+26,1.58442517799501e+27,2.1648358662572184e+28,1.6662614243751428e+29,8.791537056279049e+29,3.576880211662878e+30,1.2067902432277086e+31,1.4251351851568704e+32,9.872662197777851e+32,4.848476837305268e+33,1.8723595537007895e+34,6.051271444563436e+34,1.7069992383413306e+35,4.321803125855997e+35,2.1654886503596046e+36,8.502223356247617e+36,5.645418403678378e-10
Cm248,4.430893518920276e+25,4.441917973457432e+25,4.457677740411378e+25,4.491972689669416e+25,4.568543615123158e+25,4.654851649406522e+25,4.75608303644302e+25,4.923711281170909e+25,5.435354246898227e+25,1.4244074744891591e+26,9.383066110214614e+26,5.725989247746637e+27,2.7278723403202214e+28,1.0617379400412456e+29,1.6914239094431982e+30,1.490036514559109e+31,8.961279138628892e+31,4.125746799130947e+32,1.5601700642181503e+33,5.07049056550141e+33,1.4624206976194457e+34,9.262770041388364e+34,4.4873607834899914e+35,3.553945301433622e-11
Ra226,4.614628479776154e+25,4.999933609337817e+25,5.1407386342365895e+25,5.195630675123945e+25,5.283682317738642e+25,5.509207263381987e+25,5.948358193858188e+25,6.672276548870964e+25,7.750068264071937e+25,1.1233410799095172e+26,1.691407296551357e+26,2.5280163713911523e+26,3.679793432546783e+26,5.191335457204226e+26,1.0821893678842733e+27,1.9600578589457303e+27,3.2139549163277175e+27,4.9064874493406595e+27,7.106102156241971e+27,9.892404543999109e+27,1.3360327466000134e+28,2.2823583298896674e+28,3.6719671537851686e+28,1.228012266627077e-18
Ra228,1.8853382047268496e+16,2.2032083498607235e+18,1.6680009438732136e+19,1.254886901657103e+20,9.515624639898759e+20,3.1308563702986137e+21,7.303450636396218e+21,1.409819025451637e+22,2.4132833249497105e+22,5.633802521323349e+22,1.086459678031279e+23,1.856211655665191e+23,2.9167093867614216e+23,4.310500912075164e+23,9.519100634950707e+23,1.7666074668479238e+24,2.929956941525013e+24,4.4915285014500096e+24,6.495796320082747e+24,8.98227539789757e+24,1.1985623460964004e+25,1.9658102680891534e+25,2.969776349202324e+25,9.224577317600552e-22
Ac227,4.473457446054975e+25,8.480483926704793e+25,2.8612247626493784e+26,1.2938136390106529e+27,5.727822765247355e+27,1.323521454528938e+28,2.363110091064805e+28,3.6736536079553693e+28,5.237888800916978e+28,9.061242437705419e+28,1.3705929912690781e+29,1.905268419029149e+29,2.498985775338711e+29,3.141254458426269e+29,4.896818309472423e+29,6.760780241552096e+29,8.620133933992859e+29,1.0382663000079583e+30,1.1974254589037981e+30,1.333877730645637e+30,1.4434281393319162e+30,1.572039842277612e+30,1.575824355012966e+30,3.341823595082842e-17
Th229,5.646085433506465e+25,1.5135708438510907e+26,3.951475407775287e+26,1.380306843072063e+27,5.236411107679559e+27,1.201245866424934e+28,2.259238049658664e+28,3.8107561759045967e+28,5.997817140403627e+28,1.2984035451600219e+29,2.4914495168956298e+29,4.393747193031872e+29,7.244686374092556e+29,1.1335334247804202e+30,2.901270811914169e+30,6.15696731558508e+30,1.1462266529767965e+31,1.9370429295676404e+31,3.0398554621948734e+31,4.498606528197517e+31,6.347839051999157e+31,1.1304134709520579e+32,1.794439370499659e+32,5.692078921989767e-15
Th230,3.679904900851376e+27,9.17328964430986e+28,3.685404556078e+29,1.4796766395709098e+30,5.901734459301745e+30,1.3205112519064883e+31,2.3335193201199416e+31,3.6234131129181285e+31,5.184330787744539e+31,9.098946232718336e+31,1.4032655458022688e+32,1.994256795526038e+32,2.6793346340800236e+32,3.455293704396727e+32,5.7760181070425155e+32,8.624064966634689e+32,1.2003197064748034e+33,1.595448706044167e+33,2.0559481177507892e+33,2.5943598711095005e+33,3.22757194800268e+33,4.867603284015777e+33,7.191657660224255e+33,2.275648219772493e-13
Th232,8.316471102355642e+29,1.9131782794024389e+31,7.1980147975573275e+31,2.7109695352323258e+32,1.035305266722065e+33,2.281023697498631e+33,4.001372414175568e+33,6.189653424236681e+33,8.83918335518882e+33,1.5495779053403396e+34,2.3921060853403007e+34,3.4067143039981814e+34,4.588750546586056e+34,5.933690874863784e+34,9.979990992838216e+34,1.4949634279943577e+35,2.07769378866086e+35,2.739765463701529e+35,3.474804455498469e+35,4.276526517724e+35,5.13868340521222e+35,7.019643156065374e+35,9.06828157786565e+35,2.4871163919558e-11
Cf252,4.4648684064208874e+25,4.717243894232975e+25,5.1167335689997365e+25,5.935032253405659e+25,7.449617162688832e+25,8.79585581016329e+25,9.997082510601269e+25,1.107399084926239e+26,1.2041394262749502e+26,1.3703537062299954e+26,1.5063797886335128e+26,1.6179057326059458e+26,1.709889521866797e+26,1.7916944288624813e+26,2.3689026725473527e+26,1.0781283873713017e+27,1.0003080237693537e+28,7.586973356255477e+28,4.463481569979386e+29,2.1409219531537216e+30,8.731691343376323e+30,1.004540668309562e+32,8.041320218606188e+32,9.431117997789066e-14
