,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70,Fission Density_bu_160,FD std dev_bu_160,Relative unc._bu_160
3B,4,0.957324806851334,0.0014623606439498325,0.0015275490966953778,0.9560086153226168,0.0015468441323746665,0.0016180232139986152,0.9550116538541702,0.001526037506927335,0.0015979255339645944,0.95225249948192,0.0013610958865640425,0.001429343464369541,0.9643823313084804,0.0015240862372911225,0.0015803755293019852
3B,5,1.196384779867823,0.0018588031741892227,0.0015536834014175467,1.1955823059235466,0.001953256977780089,0.001633728575692884,1.1924997567880522,0.0017796266919574055,0.0014923497315846464,1.19051725637089,0.0018169686654756468,0.0015262010321584064,1.2025863172511984,0.001658017700324132,0.00137870993253435
4T,1,1.1936468571306147,0.001639857068698091,0.0013738209579340012,1.1924448684033937,0.0016954749434418838,0.0014218476580070446,1.1877518278064936,0.0017914861944729175,0.001508300094794536,1.1877208360326383,0.0016889850872082268,0.0014220387787840525,1.199918050844566,0.001745652197020407,0.0014548095145262
4T,2,0.9547919277865902,0.0013171191686880382,0.0013794829327279706,0.9545047163374258,0.0015486321047615288,0.001622445733640643,0.9518695914678628,0.0013613975389521536,0.0014302353506773595,0.949529024633058,0.001431168699562562,0.001507240602903773,0.9604012491522196,0.0012629494792649675,0.0013150227369860446
4T,3,0.4639205804581877,0.0006158743330988249,0.0013275425989736458,0.4624944618561493,0.0007487334977486062,0.0016189026237064144,0.4623423303017832,0.0006197510967679614,0.0013404593439744815,0.4615218673285566,0.0006980398949739859,0.001512474152123008,0.4647706427847367,0.0006587502294369063,0.001417366263690655
4T,4,0.9569848296615244,0.001306495100664802,0.0013652202837184954,0.9524119859804456,0.0013322137818955035,0.0013987788913891886,0.9501879125264441,0.001270544362785643,0.001337150626771716,0.9526530966731136,0.0012829722397343967,0.0013467360198742171,0.9606777949470052,0.0014122067175877267,0.0014700107830280698
4T,5,1.188146961203952,0.0015225092330327266,0.0012814149114095822,1.1894819829396188,0.0018422468323444406,0.0015487807791687738,1.1875781277434356,0.0016250613098641288,0.0013683826536549412,1.185949364453523,0.001754145901223266,0.0014791069111382874,1.1967546140816079,0.0017329031730553208,0.00144800208218554
4B,1,1.193333592046535,0.0015633901101624243,0.0013101031602414308,1.1973696115982353,0.001875533104089558,0.0015663777382709067,1.1907116401147069,0.0018484990615809953,0.001552432175268666,1.191885182929538,0.001516978994928376,0.0012727559807395113,1.198369717295347,0.001658790139512017,0.0013842056550425967
4B,2,0.9575694205659924,0.001453275016187667,0.0015176706617559665,0.9602907540148587,0.0015115120350347394,0.001574014983186386,0.9547238650068874,0.0015256520553525454,0.0015980034764727904,0.9570071635445774,0.0016095351241402266,0.0016818422948672676,0.9616802987430706,0.0014238516059741524,0.0014805872677595105
4B,3,0.4653390825560296,0.0007420907245014016,0.001594731137615224,0.466180581092911,0.0007985865086971425,0.0017130411284505696,0.4633829898252039,0.0007432572862945049,0.0016039805142067786,0.4642172918528302,0.0007782784952622162,0.0016765392175631234,0.466956927419049,0.0007539247230101289,0.0016145487490188872
